region,CHR,start,end,cglist,nprobes
Chr1:245297472-245297880,1,245297472,245297880,cg13014332;cg09022282;cg15215055;cg03261757;cg00315628,5
Chr1:246845306-246845405,1,246845306,246845405,cg03776151;cg04101217;cg20957730,3
Chr1:246853125-246853279,1,246853125,246853279,cg09465560;cg15145715;cg14479354,3
Chr1:246859889-246860007,1,246859889,246860007,cg07044276;cg02951974;cg07018435,3
Chr1:246862638-246862759,1,246862638,246862759,cg19749688;cg27515966;cg03850234,3
Chr1:246934409-246934560,1,246934409,246934560,cg19561055;cg13378201;cg24823195,3
Chr1:246939216-246939453,1,246939216,246939453,cg24640577;cg06826710;cg17435902;cg23255020;cg06790053,5
Chr1:246958862-246959275,1,246958862,246959275,cg23602453;cg11751688;cg13432253;cg01932688,4
Chr1:246969310-246969337,1,246969310,246969337,cg03725899;cg25282186;cg06877491,3
Chr1:247270007-247270143,1,247270007,247270143,cg17975299;cg19356179;cg26369133,3
Chr1:247373924-247374357,1,247373924,247374357,cg07706540;cg22136368;cg24375895;cg15109767;cg08706492,5
Chr1:247453569-247453950,1,247453569,247453950,cg15074092;cg16989714;cg19402413,3
Chr1:247457784-247458104,1,247457784,247458104,cg06128952;cg20289854;cg10090502;cg20405261;cg01158559,5
Chr1:247511364-247511469,1,247511364,247511469,cg15092219;cg06902607;cg26276327,3
Chr1:247537159-247537369,1,247537159,247537369,cg21397540;cg23226914;cg27305735,3
Chr1:247569420-247569791,1,247569420,247569791,cg08918031;cg12833414;cg02567750;cg02274974,4
Chr1:247681102-247681931,1,247681102,247681931,cg21950037;cg26060667;cg22374474;cg21399703;cg05639522;cg18198730;cg11166453;cg07313626,8
Chr1:247802703-247803166,1,247802703,247803166,cg27543040;cg02518135;cg25220063;cg25017620;cg15829088;cg07200344;cg25007722;cg00318631,8
Chr1:247900912-247901171,1,247900912,247901171,cg26207631;cg26483805;cg09749462,3
Chr1:248074848-248074944,1,248074848,248074944,cg21832962;cg23218601;cg17929590,3
Chr1:248300255-248300479,1,248300255,248300479,cg22523072;cg00966930;cg19503249,3
Chr1:248794621-248794637,1,248794621,248794637,cg00601147;cg20668017;cg02930910,3
Chr1:248854887-248855545,1,248854887,248855545,cg02637469;cg19357275;cg17759806;cg07726288;cg08121453;cg08200026;cg21411898;cg06362358,8
Chr1:249167489-249168142,1,249167489,249168142,cg02850933;cg16319119;cg07342573;cg23031869;cg09832292;cg10202233,6
Chr2:193256-193509,2,193256,193509,cg18672716;cg14384416;cg18408209,3
Chr2:197471-197575,2,197471,197575,cg02186315;cg10247978;cg20804581,3
Chr2:214012-214353,2,214012,214353,cg06772007;cg12161935;cg26396721;cg04617936,4
Chr2:291062-291164,2,291062,291164,cg03105159;cg09867869;cg20961248,3
Chr2:306606-307058,2,306606,307058,cg07482296;cg23225699;cg12623918;cg16092135,4
Chr2:308873-309196,2,308873,309196,cg05371322;cg14473516;cg27168850,3
Chr2:314850-315136,2,314850,315136,cg24428372;cg23900228;cg01144768,3
Chr2:317618-317938,2,317618,317938,cg02566952;cg26823290;cg06376138;cg13873758;cg19831967;cg19743346,6
Chr2:364075-364326,2,364075,364326,cg15909393;cg22860195;cg05357338,3
Chr2:365090-365232,2,365090,365232,cg22475859;cg00429509;cg06020182,3
Chr2:365815-366113,2,365815,366113,cg18560965;cg07163640;cg20823026,3
Chr2:382090-382356,2,382090,382356,cg07160793;cg19710238;cg13170076,3
Chr2:388112-388418,2,388112,388418,cg10102744;cg07161784;cg01628881;cg18048217;cg11754535,5
Chr2:391060-391376,2,391060,391376,cg07196462;cg24344414;cg21735676,3
Chr2:392642-392873,2,392642,392873,cg17587385;cg20900008;cg23523711,3
Chr2:394115-394481,2,394115,394481,cg19039481;cg10717610;cg23982445;cg23399257,4
Chr2:397707-397781,2,397707,397781,cg11639825;cg02095697;cg11449860,3
Chr2:421459-421661,2,421459,421661,cg25319862;cg02462879;cg09279679,3
Chr2:426010-426252,2,426010,426252,cg03067390;cg27503920;cg20888499,3
Chr2:427572-427676,2,427572,427676,cg02891817;cg18347903;cg19519509,3
Chr2:430882-430953,2,430882,430953,cg07095908;cg09302922;cg15111360;cg16311027,4
Chr2:438095-438323,2,438095,438323,cg26385097;cg17811608;cg05498195,3
Chr2:444504-444769,2,444504,444769,cg17362001;cg09757158;cg14499933,3
Chr2:451769-451932,2,451769,451932,cg27583071;cg07919936;cg25476243,3
Chr2:466712-467135,2,466712,467135,cg23603027;cg19284767;cg00270141;cg21124476;cg06520814;cg14144469;cg01195404,7
Chr2:468179-468413,2,468179,468413,cg13699355;cg20754261;cg16073378,3
Chr2:468737-469105,2,468737,469105,cg04709035;cg22490454;cg26349358;cg13973086,4
Chr2:469727-469790,2,469727,469790,cg14021550;cg15706424;cg08131059,3
Chr2:492540-492819,2,492540,492819,cg17355512;cg00927769;cg00346300;cg00110925,4
Chr2:493506-493627,2,493506,493627,cg02752500;cg02484411;cg02238142,3
Chr2:496713-497417,2,496713,497417,cg00587485;cg12821876;cg19746754;cg19290455;cg03802817;cg25542745;cg06417878,7
Chr2:503065-503383,2,503065,503383,cg21273584;cg00854591;cg11573608;cg13087445;cg21768664,5
Chr2:503672-503776,2,503672,503776,cg25762658;cg14806518;cg27430369;cg16354775,4
Chr2:545407-545736,2,545407,545736,cg01525070;cg12224388;cg11495377;cg16627764;cg22910587,5
Chr2:554603-554699,2,554603,554699,cg23944920;cg10907025;cg16676200,3
Chr2:557949-558315,2,557949,558315,cg16865611;cg26737130;cg06216650;cg09151880;cg05245170;cg23112609,6
Chr2:568198-568406,2,568198,568406,cg16711011;cg06640593;cg00498796,3
Chr2:583115-583384,2,583115,583384,cg11614086;cg14414944;cg00988260;cg18671881;cg21950182,5
Chr2:583872-583975,2,583872,583975,cg06003267;cg01791778;cg01015769,3
Chr2:592681-592809,2,592681,592809,cg01735083;cg06700494;cg04448345,3
Chr2:594380-594612,2,594380,594612,cg03521077;cg05089527;cg03186962,3
Chr2:620044-620265,2,620044,620265,cg00658743;cg13416517;cg15517113,3
Chr2:628881-629121,2,628881,629121,cg26342985;cg13314394;cg09887415;cg03296200;cg18686665,5
Chr2:637432-637620,2,637432,637620,cg25614596;cg00686826;cg22587293,3
Chr2:660692-660856,2,660692,660856,cg04589008;cg15376064;cg02783887,3
Chr2:662602-663024,2,662602,663024,cg06534853;cg25785397;cg09478095;cg21644387,4
Chr2:691012-691064,2,691012,691064,cg00500140;cg13758904;cg20862447,3
Chr2:691862-692026,2,691862,692026,cg14684798;cg04094846;cg13650504,3
Chr2:693412-693623,2,693412,693623,cg26399391;cg16455757;cg16379812,3
Chr2:709250-709442,2,709250,709442,cg21565937;cg14585167;cg18746073,3
Chr2:716313-716389,2,716313,716389,cg05024851;cg06850787;cg08720028;cg00566209,4
Chr2:731073-731594,2,731073,731594,cg21665850;cg01267068;cg14222729;cg17035276;cg01479768;cg02310723;cg26476930;cg20057198;cg08280036,9
Chr2:740466-740718,2,740466,740718,cg10414026;cg02758766;cg22595526,3
Chr2:740926-741268,2,740926,741268,cg06721538;cg04603376;cg08748184;cg25814970,4
Chr2:741806-741887,2,741806,741887,cg11902941;cg05359777;cg08844527,3
Chr2:742416-742427,2,742416,742427,cg01580164;cg02708940;cg12431599,3
Chr2:776598-776719,2,776598,776719,cg26211041;cg18823499;cg04587424,3
Chr2:778527-778731,2,778527,778731,cg11917125;cg17536720;cg13258131;cg20824635,4
Chr2:794646-794763,2,794646,794763,cg06523516;cg05018648;cg06589199,3
Chr2:796359-796536,2,796359,796536,cg07478785;cg07337120;cg02762063,3
Chr2:863889-863946,2,863889,863946,cg06699195;cg06791546;cg01854967,3
Chr2:866867-867119,2,866867,867119,cg21061994;cg02491701;cg23639196,3
Chr2:879464-879563,2,879464,879563,cg00573410;cg13293488;cg21938541,3
Chr2:881987-882228,2,881987,882228,cg12942932;cg09708044;cg13006655,3
Chr2:911695-911871,2,911695,911871,cg25497572;cg26833798;cg12685726,3
Chr2:916900-916972,2,916900,916972,cg01378713;cg15046077;cg10813539,3
Chr2:917453-917577,2,917453,917577,cg22889256;cg02149898;cg16022979,3
Chr2:925838-926010,2,925838,926010,cg02089014;cg15305070;cg17401808,3
Chr2:928673-928958,2,928673,928958,cg09581060;cg22745354;cg14323539;cg07776049;cg02808773,5
Chr2:1377754-1378035,2,1377754,1378035,cg02096792;cg09508362;cg20880144;cg02794788;cg11912215;cg02514003,6
Chr2:1554541-1554849,2,1554541,1554849,cg22652155;cg03064189;cg07504727,3
Chr2:1583968-1584124,2,1583968,1584124,cg26773607;cg03135081;cg01754534,3
Chr2:1595819-1596054,2,1595819,1596054,cg05854217;cg10522607;cg03550129,3
Chr2:1605890-1606016,2,1605890,1606016,cg12044000;cg09340386;cg18438461,3
Chr2:1609062-1609364,2,1609062,1609364,cg23277693;cg16151651;cg13529733;cg05568492;cg06101084,5
Chr2:1623949-1623990,2,1623949,1623990,cg07432484;cg00040288;cg18406064,3
Chr2:1625016-1625325,2,1625016,1625325,cg07338476;cg04372182;cg18639238;cg00474373;cg22046535,5
Chr2:1629049-1629372,2,1629049,1629372,cg21803847;cg05020137;cg05716374;cg26172390,4
Chr2:1629838-1629999,2,1629838,1629999,cg19550530;cg11559938;cg01730072,3
Chr2:2581285-2581557,2,2581285,2581557,cg20506745;cg05092362;cg09355027;cg21740232;cg10767420,5
Chr2:2584930-2585322,2,2584930,2585322,cg06858459;cg21033171;cg17218224;cg12109978,4
Chr2:2617199-2617432,2,2617199,2617432,cg11600596;cg18119885;cg08862035,3
Chr2:2672667-2672781,2,2672667,2672781,cg12666921;cg02236554;cg23925283,3
Chr2:2692854-2692944,2,2692854,2692944,cg23822732;cg16901302;cg04314130,3
Chr2:2713323-2713429,2,2713323,2713429,cg18305853;cg07912020;cg13791351,3
Chr2:2732533-2732624,2,2732533,2732624,cg24984629;cg21403609;cg08551408,3
Chr2:2735923-2736144,2,2735923,2736144,cg09706801;cg25000021;cg06546469,3
Chr2:2754829-2755057,2,2754829,2755057,cg09761959;cg18761948;cg09334766,3
Chr2:2799370-2799615,2,2799370,2799615,cg24779831;cg20760156;cg22003610,3
Chr2:2829723-2829759,2,2829723,2829759,cg03997167;cg11380881;cg23177576,3
Chr2:2842206-2842262,2,2842206,2842262,cg07132558;cg15775102;cg03680819,3
Chr2:2842624-2842918,2,2842624,2842918,cg06610795;cg09160607;cg20392095,3
Chr2:3045057-3045331,2,3045057,3045331,cg00106808;cg20424973;cg14442405,3
Chr2:3063115-3063671,2,3063115,3063671,cg05373263;cg01290791;cg02115559;cg05698294;cg06320642;cg19907479;cg23243474;cg07586391;cg06076512,9
Chr2:3063898-3064102,2,3063898,3064102,cg16790844;cg02152985;cg03184487,3
Chr2:3105016-3105137,2,3105016,3105137,cg01269702;cg03318593;cg14595617,3
Chr2:3111279-3111484,2,3111279,3111484,cg24725185;cg25799361;cg00283247,3
Chr2:3128823-3128984,2,3128823,3128984,cg07217341;cg23032993;cg03072692,3
Chr2:3129847-3129914,2,3129847,3129914,cg13290163;cg21251791;cg08717402,3
Chr2:3131276-3131372,2,3131276,3131372,cg06351520;cg14701108;cg11170044;cg14552732,4
Chr2:3136900-3137154,2,3136900,3137154,cg08826448;cg08065055;cg20324516,3
Chr2:3149599-3149709,2,3149599,3149709,cg12544489;cg22392700;cg00133116,3
Chr2:3173204-3173294,2,3173204,3173294,cg20499506;cg11062387;cg07948095;cg20430826;cg14993161,5
Chr2:3174520-3174771,2,3174520,3174771,cg14051666;cg23896898;cg21184281,3
Chr2:3175933-3176148,2,3175933,3176148,cg11788016;cg23402920;cg02368577,3
Chr2:3180802-3181004,2,3180802,3181004,cg08298447;cg23404217;cg00788222,3
Chr2:3181236-3181364,2,3181236,3181364,cg08836904;cg09525835;cg05473692,3
Chr2:3187797-3187937,2,3187797,3187937,cg07371828;cg13585492;cg09678388,3
Chr2:3483407-3483766,2,3483407,3483766,cg17814222;cg08407360;cg18968969,3
Chr2:3486221-3486393,2,3486221,3486393,cg23069877;cg05121660;cg10103623;cg03124974,4
Chr2:3488468-3488627,2,3488468,3488627,cg25811867;cg12142346;cg27248741,3
Chr2:3489638-3489799,2,3489638,3489799,cg11492589;cg14137171;cg12162724,3
Chr2:3493521-3493865,2,3493521,3493865,cg13956932;cg01873619;cg14813458;cg24831521;cg13851191,5
Chr2:3584463-3584774,2,3584463,3584774,cg09045963;cg05351204;cg16535565;cg01489567,4
Chr2:3633333-3633519,2,3633333,3633519,cg24086268;cg09753772;cg23994061,3
Chr2:3696648-3696748,2,3696648,3696748,cg16540950;cg20388462;cg00123017,3
Chr2:3697378-3697542,2,3697378,3697542,cg08980304;cg05646015;cg15355967,3
Chr2:3698701-3698862,2,3698701,3698862,cg04032962;cg01926804;cg20539637,3
Chr2:3699195-3699353,2,3699195,3699353,cg13452994;cg16123090;cg20720597;cg14882966,4
Chr2:3702425-3702504,2,3702425,3702504,cg09191204;cg19188632;cg02709041,3
Chr2:3750488-3750565,2,3750488,3750565,cg15703756;cg00880741;cg04652943,3
Chr2:3814539-3814650,2,3814539,3814650,cg01618806;cg05299459;cg09636436,3
Chr2:3826610-3826980,2,3826610,3826980,cg27091865;cg00910015;cg11034781;cg11809107;cg16754216;cg14989714,6
Chr2:4050695-4050845,2,4050695,4050845,cg24215159;cg19006220;cg00217080;cg16721427;cg15375488,5
Chr2:4183531-4183644,2,4183531,4183644,cg04051927;cg09071834;cg20415092,3
Chr2:4188377-4188400,2,4188377,4188400,cg21806743;cg21023307;cg00015189,3
Chr2:4188717-4188879,2,4188717,4188879,cg02972537;cg27491969;cg24801254,3
Chr2:4600947-4601053,2,4600947,4601053,cg26851570;cg19480775;cg22013195,3
Chr2:4720598-4720659,2,4720598,4720659,cg02831260;cg25431819;cg09665844,3
Chr2:4931004-4931115,2,4931004,4931115,cg19372578;cg02561693;cg02883150,3
Chr2:5584457-5584614,2,5584457,5584614,cg11108534;cg25801636;cg11222219,3
Chr2:5696271-5696558,2,5696271,5696558,cg04604936;cg16767687;cg09670117;cg10955996;cg16427307;cg08736052,6
Chr2:5847191-5847414,2,5847191,5847414,cg03304378;cg20292653;cg09605095,3
Chr2:5866387-5866470,2,5866387,5866470,cg06445961;cg00771964;cg10858103,3
Chr2:6465912-6466008,2,6465912,6466008,cg05104546;cg08570894;cg18513560;cg05322567,4
Chr2:6635591-6636516,2,6635591,6636516,cg11810888;cg00704227;cg06848247;cg04027961;cg06383247;cg21069019;cg11127569;cg00446536;cg15014977,9
Chr2:6910518-6910631,2,6910518,6910631,cg25425537;cg02738156;cg00931181,3
Chr2:6913250-6913476,2,6913250,6913476,cg15425691;cg11661042;cg16535300;cg19211934;cg15636480;cg04459144,6
Chr2:7229724-7229912,2,7229724,7229912,cg12046564;cg24551324;cg16203788,3
Chr2:7237107-7237181,2,7237107,7237181,cg01413698;cg16144562;cg06078337,3
Chr2:7464944-7465187,2,7464944,7465187,cg06720768;cg12528229;cg21841803,3
Chr2:7597165-7597305,2,7597165,7597305,cg03554051;cg09249152;cg25792581,3
Chr2:7907372-7907525,2,7907372,7907525,cg23880198;cg26881691;cg08397828,3
Chr2:8168023-8168246,2,8168023,8168246,cg19795074;cg18867605;cg19285633;cg12157281,4
Chr2:8301459-8301539,2,8301459,8301539,cg03065891;cg04142249;cg25137715,3
Chr2:8422236-8422332,2,8422236,8422332,cg06588802;cg00594040;cg15757195,3
Chr2:8597159-8597188,2,8597159,8597188,cg12588880;cg05204532;cg10105712,3
Chr2:8683945-8684126,2,8683945,8684126,cg06142351;cg12018718;cg00034336,3
Chr2:8685837-8686184,2,8685837,8686184,cg15981982;cg08168141;cg00534022;cg23648263,4
Chr2:8711042-8711256,2,8711042,8711256,cg19177744;cg17693669;cg06568724;cg10367409;cg26275081;cg03774648,6
Chr2:8714248-8714417,2,8714248,8714417,cg27580229;cg23541422;cg14093127,3
Chr2:8723906-8724060,2,8723906,8724060,cg00085123;cg09061684;cg18091469,3
Chr2:8816914-8817010,2,8816914,8817010,cg16345795;cg12515366;cg21946006,3
Chr2:8818142-8818413,2,8818142,8818413,cg03869928;cg18793799;cg27527593;cg10883171,4
Chr2:8819139-8819479,2,8819139,8819479,cg19615304;cg00879141;cg01365608,3
Chr2:8826175-8826235,2,8826175,8826235,cg25190999;cg12533175;cg23276598,3
Chr2:8833307-8833332,2,8833307,8833332,cg02225346;cg09538682;cg11674763,3
Chr2:8849962-8850066,2,8849962,8850066,cg10900049;cg00240378;cg03448016,3
Chr2:8863226-8863566,2,8863226,8863566,cg10042247;cg14960853;cg21124994,3
Chr2:8868639-8868939,2,8868639,8868939,cg09925124;cg20019575;cg20784947;ch.2.8786390R,4
Chr2:9283140-9283292,2,9283140,9283292,cg26394466;cg11536248;cg05172956;cg01011898,4
Chr2:9285733-9286157,2,9285733,9286157,cg05116672;cg04479798;cg11560155;cg25337514;cg21221545;cg03565241,6
Chr2:9778591-9778812,2,9778591,9778812,cg03167623;cg15900946;cg05592292;cg05323623,4
Chr2:9800451-9800556,2,9800451,9800556,cg15114522;cg14973360;cg19742935,3
Chr2:9910483-9910625,2,9910483,9910625,cg12947589;cg02075105;cg06691005,3
Chr2:9960583-9960899,2,9960583,9960899,cg20600404;cg18915450;cg25207776,3
Chr2:10084905-10085218,2,10084905,10085218,cg19664838;cg22170183;cg25499911;cg22909423,4
Chr2:10223847-10223855,2,10223847,10223855,cg08774267;cg24926283;cg06601130,3
Chr2:10260230-10260539,2,10260230,10260539,cg09331106;cg14638209;cg23098139;cg15551105;cg00793280;cg04574700,6
Chr2:10360265-10360737,2,10360265,10360737,cg14501281;cg15660517;cg07380384;cg08435624;cg08585128,5
Chr2:10436310-10436356,2,10436310,10436356,cg05634071;cg16902064;cg11187612,3
Chr2:10615752-10616237,2,10615752,10616237,cg24155961;cg22707563;cg19361181;cg14946786,4
Chr2:10637974-10638072,2,10637974,10638072,cg01517500;cg21325708;cg04571189,3
Chr2:10655037-10655116,2,10655037,10655116,cg12729177;cg20729877;cg14156803,3
Chr2:10665727-10665926,2,10665727,10665926,cg07139514;cg02475539;cg02644784,3
Chr2:10666585-10666862,2,10666585,10666862,cg26539736;cg10767193;cg08846959;cg18004311,4
Chr2:10686963-10687042,2,10686963,10687042,cg15153684;cg13851334;cg09761224,3
Chr2:10687583-10687659,2,10687583,10687659,cg13198342;cg12633355;cg00352468,3
Chr2:10687962-10688317,2,10687962,10688317,cg17644856;cg03222929;cg20056997;cg20473155;cg25371332,5
Chr2:10691725-10691911,2,10691725,10691911,cg05349601;cg06551661;cg20356241,3
Chr2:10696890-10697152,2,10696890,10697152,cg00105475;cg04366407;cg16346591,3
Chr2:10857562-10857880,2,10857562,10857880,cg09233467;cg02275511;cg10005305;cg00336867;cg23893833,5
Chr2:10972607-10972715,2,10972607,10972715,cg12244991;cg07927396;cg10485612,3
Chr2:10975271-10975686,2,10975271,10975686,cg21546821;cg02491905;cg08078204;cg14839935;cg11270917,5
Chr2:10984512-10984631,2,10984512,10984631,cg00442205;cg07148655;cg05942817,3
Chr2:10987370-10987681,2,10987370,10987681,cg09050269;cg20332822;cg19093260,3
Chr2:11101247-11101592,2,11101247,11101592,cg24682986;cg27403609;cg13686059;cg03440414,4
Chr2:11102112-11102188,2,11102112,11102188,cg04545872;cg11459133;cg16509072,3
Chr2:11123476-11123616,2,11123476,11123616,cg11241151;cg02479842;cg03257743,3
Chr2:11163955-11164228,2,11163955,11164228,cg02969343;cg03778769;cg18406285,3
Chr2:11164517-11164677,2,11164517,11164677,cg16907069;cg16637467;cg13922241;cg08192516;cg26462586,5
Chr2:11245407-11245514,2,11245407,11245514,cg00049868;cg19246065;cg24618467,3
Chr2:11488532-11488768,2,11488532,11488768,cg15605262;cg12824195;cg15634088;cg17168514,4
Chr2:11514876-11515248,2,11514876,11515248,cg19290423;cg27175112;cg00478421;cg00215712,4
Chr2:11527246-11527344,2,11527246,11527344,cg24061727;cg00031803;cg14319593,3
Chr2:11566584-11566645,2,11566584,11566645,cg04197632;cg15649932;cg04846618,3
Chr2:11636031-11636294,2,11636031,11636294,cg22387781;cg01621716;cg09759637;cg24399204,4
Chr2:11646007-11646283,2,11646007,11646283,cg07746463;cg06602596;cg15253752,3
Chr2:11656786-11656909,2,11656786,11656909,cg01076592;cg15455641;cg23019794,3
Chr2:11796786-11797017,2,11796786,11797017,cg06497921;cg14546466;cg10503007;cg19311448,4
Chr2:11822155-11822690,2,11822155,11822690,cg12937501;cg15770238;cg06564827;cg06500134;cg14420123,5
Chr2:11828697-11828758,2,11828697,11828758,cg13826618;cg11612694;cg14371524,3
Chr2:11881225-11881420,2,11881225,11881420,cg24519596;cg11774850;cg26823535,3
Chr2:11968342-11968394,2,11968342,11968394,cg03238522;cg09346503;cg24826252,3
Chr2:11969958-11970207,2,11969958,11970207,cg02560388;cg10018519;cg01876978;cg26963245,4
Chr2:12005898-12006004,2,12005898,12006004,cg16579584;cg19362632;cg16140771,3
Chr2:13863069-13863167,2,13863069,13863167,cg17838165;cg18902433;cg16170919,3
Chr2:14756020-14756087,2,14756020,14756087,cg16206940;cg00913542;cg24196622,3
Chr2:15012912-15012985,2,15012912,15012985,cg07313737;cg05855985;cg08480413,3
Chr2:15047906-15048093,2,15047906,15048093,cg02202777;cg05459097;cg17289601,3
Chr2:15804594-15805012,2,15804594,15805012,cg21824017;cg02818160;cg17804611;cg13914708;cg12283119,5
Chr2:15830876-15830903,2,15830876,15830903,cg06123358;cg02459613;cg06757994,3
Chr2:16124562-16125097,2,16124562,16125097,cg01621445;cg05996160;cg11643510;cg01642152;cg16847570,5
Chr2:16154047-16154325,2,16154047,16154325,cg01430344;cg24694501;cg01601949,3
Chr2:16245936-16246143,2,16245936,16246143,cg08134504;cg21544100;cg12192716;cg18820800;cg00179062;cg11197566,6
Chr2:16247027-16247190,2,16247027,16247190,cg07603523;cg04701643;cg01372059,3
Chr2:16380306-16380415,2,16380306,16380415,cg17457352;cg04834480;cg04901718,3
Chr2:16383611-16383676,2,16383611,16383676,cg07290413;cg11410518;cg25961021,3
Chr2:16405035-16405190,2,16405035,16405190,cg09019778;cg14057817;cg04832933,3
Chr2:16409585-16409635,2,16409585,16409635,cg25527936;cg24619462;cg06627235,3
Chr2:16410106-16410143,2,16410106,16410143,cg15488545;cg25584761;cg10242172,3
Chr2:16500811-16500876,2,16500811,16500876,cg19582222;cg17789904;cg08000703;cg14746537,4
Chr2:18011875-18012150,2,18011875,18012150,cg09053420;cg19216563;cg19435835;cg10548807,4
Chr2:19561327-19561709,2,19561327,19561709,cg16361302;cg24879782;cg06530338;cg01196788,4
Chr2:19562750-19563387,2,19562750,19563387,cg03618256;cg24226138;cg15548588;cg04697622;cg14210681;cg17181167;cg01732449;cg27257137;cg21365298,9
Chr2:19668772-19669048,2,19668772,19669048,cg17045839;cg09684567;cg14649731,3
Chr2:19849829-19850072,2,19849829,19850072,cg07866909;cg22115976;cg11701091,3
Chr2:20063304-20063461,2,20063304,20063461,cg23227355;cg16510278;cg14395787,3
Chr2:20068702-20068906,2,20068702,20068906,cg25947878;cg24770624;cg09336406,3
Chr2:20382303-20382487,2,20382303,20382487,cg23679809;cg03559433;cg19582805,3
Chr2:20386466-20386555,2,20386466,20386555,cg17809353;cg14790332;cg03750737,3
Chr2:20441905-20442210,2,20441905,20442210,cg16727243;cg03425348;cg02591356;cg08044427;cg02156767,5
Chr2:20446313-20446355,2,20446313,20446355,cg24757467;cg19109869;cg14447242;cg20170063,4
Chr2:20650578-20650792,2,20650578,20650792,cg21482674;cg10936796;cg05904364,3
Chr2:20877368-20877555,2,20877368,20877555,cg06179667;cg17205357;cg09767245,3
Chr2:21346738-21346892,2,21346738,21346892,cg20399842;cg07363185;cg03012642,3
Chr2:21540324-21540498,2,21540324,21540498,cg22559079;cg12484742;cg17765159,3
Chr2:22600313-22600431,2,22600313,22600431,cg13766143;cg13925017;cg24358144,3
Chr2:23314925-23315115,2,23314925,23315115,cg17106100;cg18562299;cg05450479,3
Chr2:23421947-23422227,2,23421947,23422227,cg16919295;cg27364369;cg06551332;cg23115674,4
Chr2:23570372-23570496,2,23570372,23570496,cg13060366;cg17482476;cg16959219,3
Chr2:23582915-23583048,2,23582915,23583048,cg13884555;cg01546177;cg05149783;cg06076100,4
Chr2:24713157-24713283,2,24713157,24713283,cg04335293;cg15138109;cg03879180,3
Chr2:24714699-24714800,2,24714699,24714800,cg15477048;cg22623549;cg25417913;cg07666211,4
Chr2:24786206-24786264,2,24786206,24786264,cg13349128;cg06701063;cg15537902,3
Chr2:25427064-25427114,2,25427064,25427114,cg26374678;cg20422417;cg01752881,3
Chr2:25584821-25585065,2,25584821,25585065,cg12127463;cg01313518;cg23733525,3
Chr2:25585619-25585766,2,25585619,25585766,cg15575641;cg11309462;cg19512473;cg05847163,4
Chr2:25598592-25598865,2,25598592,25598865,ch.2.25452096R;cg27120766;cg16128627;cg09060241,4
Chr2:26372983-26373030,2,26372983,26373030,cg06382254;cg17804981;cg13400912,3
Chr2:26523540-26523644,2,26523540,26523644,cg09110945;cg22368426;cg19379541,3
Chr2:27069154-27069408,2,27069154,27069408,cg23153669;cg00216024;cg09448707;cg18920368,4
Chr2:27938071-27938371,2,27938071,27938371,cg18346576;cg05639068;cg03383158;cg23107161,4
Chr2:27958142-27958712,2,27958142,27958712,cg01020696;cg12606409;cg06744545;cg00510539;cg15129506,5
Chr2:27988576-27988858,2,27988576,27988858,cg01319403;cg25309888;cg20518572;cg07920525,4
Chr2:28589316-28589537,2,28589316,28589537,cg15727647;cg00518055;cg01286222,3
Chr2:28674224-28674299,2,28674224,28674299,cg09889155;cg14401476;cg10871684,3
Chr2:28680017-28680107,2,28680017,28680107,cg18743140;cg07226171;cg09329587,3
Chr2:28906740-28906772,2,28906740,28906772,cg02954577;cg23355627;cg14310888,3
Chr2:28959117-28959354,2,28959117,28959354,cg11408613;cg07648144;cg15041443,3
Chr2:32048230-32048424,2,32048230,32048424,cg02595996;cg02367470;cg19973917,3
Chr2:32048808-32048926,2,32048808,32048926,cg13196432;cg18187398;cg00156330,3
Chr2:34128696-34128909,2,34128696,34128909,cg07078979;cg12074150;cg04060904,3
Chr2:37551360-37551598,2,37551360,37551598,cg07961416;cg02473084;cg14079149,3
Chr2:37552111-37552545,2,37552111,37552545,cg03736472;cg24826988;cg16716968;cg16970667;cg26827737;cg04696149,6
Chr2:38658238-38658300,2,38658238,38658300,cg19999275;cg17398251;cg16056478,3
Chr2:38742622-38742843,2,38742622,38742843,cg26315221;cg01412379;cg13022624;cg13278267,4
Chr2:38763130-38763533,2,38763130,38763533,cg23078928;cg01844352;cg17332338;cg18627182,4
Chr2:38769589-38769785,2,38769589,38769785,cg15512172;cg03894311;cg25118559,3
Chr2:39351390-39351732,2,39351390,39351732,cg00930710;cg01353679;cg12874164;cg09807975;cg09286090,5
Chr2:39470725-39470750,2,39470725,39470750,cg01583753;cg09834706;cg24062763,3
Chr2:41370011-41370132,2,41370011,41370132,cg19500764;cg11681549;cg10797690,3
Chr2:41960879-41960956,2,41960879,41960956,cg20304687;cg13576332;cg06741004,3
Chr2:41961443-41961615,2,41961443,41961615,cg08403113;cg09226508;cg03049507,3
Chr2:42067938-42068648,2,42067938,42068648,cg03969316;cg09320971;cg09012708;cg09091690;cg08625556;cg18499001;cg19324633;cg24742832;cg06226256,9
Chr2:42229025-42229179,2,42229025,42229179,cg19376973;cg27252766;cg27428208,3
Chr2:42565216-42565378,2,42565216,42565378,cg03454357;cg14782266;cg06493695,3
Chr2:42566404-42566556,2,42566404,42566556,cg04268813;cg19427338;cg17485141,3
Chr2:42652272-42652321,2,42652272,42652321,cg16548352;cg16503646;cg26801502,3
Chr2:42652787-42653080,2,42652787,42653080,cg14217749;cg13170462;cg17486124,3
